Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
222.054,0.209515,0.02393376,0.04359461,-0.02049355,-0.0263607,-0.1024376,0.05047868,0.05849147,-0.5226313,0.01346866,0.004381591,-0.04096422,-0.02709583,0.05858338,-0.03923926,6,-0.6047765,6,0.9840344,0.7265564,0.8000396,6,6,6,6,6,6
222.492,0.2949351,0.07685771,0.0003895194,-0.01875001,-0.03023861,-0.1287941,0.0446323,0.0294325,-0.4607565,-0.008204686,-0.04500876,-0.04954489,-0.05813524,0.01508789,-0.02428362,6,-0.4187404,6,6,6,6,6,6,6,6,6,6
222.930,0.3921273,0.12123,-0.0007512676,-0.03475078,0.002671205,-0.1512363,0.05707972,-0.0941887,-0.2229123,-0.0337743,-0.1419917,-0.02952312,-0.1342671,0.03413657,-0.001762426,-0.06602637,-0.1544564,-0.1054077,0.1290875,0.3102422,-0.1126164,-0.143555,2.160468,-0.1156637,-0.1337976,-0.04528904,-0.2170555
223.368,0.2202454,0.05252945,0.05673076,-0.08574889,0.000146995,-0.1656725,0.09559561,-0.09940656,-0.1663358,0.04728046,-0.2194193,-0.008244577,-0.1570032,0.07255263,-0.01896276,0.5158773,-0.102823,0.6485189,6,6,0.1116331,0.3081407,0.7931983,0.2996083,0.1016652,0.9624842,0.00303925
223.806,0.07595364,-0.009407245,0.06989236,-0.05175498,-0.01623424,-0.1765575,0.1241235,-0.1017072,-0.1305754,0.08778838,-0.2137647,0.004107364,-0.1314808,0.02476437,-0.09459423,6,-0.08578546,6,6,6,6,6,6,6,0.1262872,6,0.5227314
224.244,-0.01373068,0.005496906,0.05300524,0.04667549,-0.02063816,-0.147022,0.1571745,-0.09149696,-0.08933482,0.06430268,-0.1523983,0.02230963,-0.06529446,-0.02389426,-0.1191743,-0.7640189,-0.09534769,-0.5590252,-0.6844735,-0.5473254,-0.7801055,-0.7052786,-0.5304731,-0.3102484,6,-0.8678681,-0.6130902
224.682,-0.06957437,0.07525319,0.01932816,0.14518,-0.01246679,-0.0800831,0.1785617,-0.04510746,-0.06333842,-0.0004380206,-0.06910658,0.0324744,0.008720695,-0.04426308,-0.06987325,0.03392488,-0.1455218,0.8595333,0.1856583,0.3497567,-0.2713267,-0.07966059,0.9606367,6,6,-0.2338612,-0.0319147
225.120,-0.1178787,0.06528256,-0.01863526,0.1044507,-0.03688466,-0.04066385,0.08732873,0.08289137,-0.2226939,-0.01801072,-0.01747573,-0.04625961,0.009824432,-0.05603679,0.01536614,-0.4839736,-0.3037802,-0.5650387,-0.5575095,0.1182114,-0.2730658,-0.3499728,-0.6112329,-0.6087488,-0.6703594,-0.2560789,-0.4522784
225.558,-0.1674955,0.00739802,-0.01827847,0.03218445,-0.04121941,0.006717454,0.08888048,0.1516281,-0.3276827,0.03343772,-0.006311975,-0.03735176,0.009717687,0.022596,0.1282975,0.01067949,-0.5190087,-0.06701906,-0.1442354,0.339154,-0.06079526,-0.06101859,-0.005743175,-0.1053619,0.0260711,-0.006123235,-0.0327434
225.996,-0.07303105,0.02085599,0.02212586,-0.05247784,0.01276216,0.02016289,0.06633905,0.103034,-0.1117234,0.08885795,-0.01911228,0.01496275,0.0130174,0.1420114,0.145899,0.08298975,-0.1846969,-0.046689,-0.1199243,0.1906577,-0.04300601,-0.05904116,-0.01422956,-0.08871007,0.07060421,-0.04240776,0.00173689
